time_step,vehicle_id,role,speed_mps,acceleration,x,y,space_headway,ref_vels
34,veh3,Follower3,1.5787,2.6687,36.527,-1.6,5.1425,3.5787
34,veh4,Follower4,0.0,0.0,24.0204,-1.6,4.5065,2.0
34,veh5,Follower5,0.0,0.0,12.0204,-1.6,4.0,2.0
34,veh6,Follower6,0.0,0.0,0.0204,-1.6,4.0,2.0
35,veh0,Leader,2.2974,0.7737,76.426,-1.6,0.0,
35,veh1,Follower1,2.2771,0.6622,63.1524,-1.6,5.2735,4.2771
35,veh2,Follower2,2.2243,0.8302,49.8919,-1.6,5.2605,4.2243
35,veh3,Follower3,1.8345,2.5579,36.7104,-1.6,5.1815,3.8345
35,veh4,Follower4,0.0138,0.1378,24.0218,-1.6,4.6886,2.0138
35,veh5,Follower5,0.0,0.0,12.0204,-1.6,4.0014,2.0
35,veh6,Follower6,0.0,0.0,0.0204,-1.6,4.0,2.0
36,veh0,Leader,2.3753,0.7793,76.6635,-1.6,0.0,
36,veh1,Follower1,2.3595,0.8241,63.3884,-1.6,5.2751,4.3595
36,veh2,Follower2,2.3043,0.8004,50.1224,-1.6,5.266,4.3043
36,veh3,Follower3,2.0212,1.8674,36.9125,-1.6,5.2098,4.0212
36,veh4,Follower4,0.4614,4.4757,24.0679,-1.6,4.8446,2.4614
36,veh5,Follower5,0.0,0.0,12.0204,-1.6,4.0475,2.0
36,veh6,Follower6,0.0,0.0,0.0204,-1.6,4.0,2.0
37,veh0,Leader,2.4533,0.7796,76.9088,-1.6,0.0,
37,veh1,Follower1,2.4417,0.8225,63.6326,-1.6,5.2763,4.4417
37,veh2,Follower2,2.401,0.9668,50.3625,-1.6,5.2701,4.401
37,veh3,Follower3,2.1809,1.5972,37.1306,-1.6,5.2318,4.1809
37,veh4,Follower4,0.9287,4.6734,24.1608,-1.6,4.9698,2.9287
37,veh5,Follower5,0.0,0.0,12.0204,-1.6,4.1404,2.0
37,veh6,Follower6,0.0,0.0,0.0204,-1.6,4.0,2.0
38,veh0,Leader,2.5008,0.4748,77.1589,-1.6,0.0,
38,veh1,Follower1,2.5229,0.8117,63.8848,-1.6,5.274,4.5229
38,veh2,Follower2,2.4942,0.932,50.6119,-1.6,5.273,4.4942
38,veh3,Follower3,2.3429,1.6196,37.3649,-1.6,5.247,4.3429
38,veh4,Follower4,1.3662,4.3753,24.2974,-1.6,5.0675,3.3662
38,veh5,Follower5,0.0,0.0,12.0204,-1.6,4.277,2.0
38,veh6,Follower6,0.0,0.0,0.0204,-1.6,4.0,2.0
39,veh0,Leader,2.5479,0.4709,77.4137,-1.6,0.0,
39,veh1,Follower1,2.5649,0.4201,64.1413,-1.6,5.2723,4.5649
39,veh2,Follower2,2.5833,0.8903,50.8702,-1.6,5.2711,4.5833
39,veh3,Follower3,2.4842,1.4127,37.6133,-1.6,5.2569,4.4842
39,veh4,Follower4,1.7728,4.0655,24.4747,-1.6,5.1386,3.7728
39,veh5,Follower5,0.0,0.0,12.0204,-1.6,4.4543,2.0
39,veh6,Follower6,0.0,0.0,0.0204,-1.6,4.0,2.0
40,veh0,Leader,2.6087,0.6089,77.6745,-1.6,0.0,
40,veh1,Follower1,2.6075,0.4261,64.4021,-1.6,5.2725,4.6075
40,veh2,Follower2,2.6213,0.3806,51.1323,-1.6,5.2697,4.6213
40,veh3,Follower3,2.6007,1.1653,37.8734,-1.6,5.2589,4.6007
40,veh4,Follower4,2.1153,3.4252,24.6862,-1.6,5.1872,4.1153
40,veh5,Follower5,0.0,0.0,12.0204,-1.6,4.6658,2.0
40,veh6,Follower6,0.0,0.0,0.0204,-1.6,4.0,2.0
41,veh0,Leader,2.6722,0.6348,77.9418,-1.6,0.0,
41,veh1,Follower1,2.6686,0.6107,64.6689,-1.6,5.2728,4.6686
41,veh2,Follower2,2.6603,0.3898,51.3984,-1.6,5.2706,4.6603
41,veh3,Follower3,2.6449,0.4421,38.1379,-1.6,5.2605,4.6449
41,veh4,Follower4,2.3828,2.6755,24.9245,-1.6,5.2134,4.3828
41,veh5,Follower5,0.4422,4.4217,12.0646,-1.6,4.8599,2.4422
41,veh6,Follower6,0.0,0.0,0.0204,-1.6,4.0442,2.0
42,veh0,Leader,2.7204,0.4813,78.2138,-1.6,0.0,
42,veh1,Follower1,2.733,0.6438,64.9422,-1.6,5.2716,4.733
42,veh2,Follower2,2.7232,0.6296,51.6707,-1.6,5.2716,4.7232
42,veh3,Follower3,2.688,0.4312,38.4067,-1.6,5.264,4.688
42,veh4,Follower4,2.5158,1.3293,25.1761,-1.6,5.2306,4.5158
42,veh5,Follower5,1.1434,7.0122,12.179,-1.6,4.9971,3.1434
42,veh6,Follower6,0.0,0.0,0.0204,-1.6,4.1586,2.0
43,veh0,Leader,2.7813,0.6093,78.4919,-1.6,0.0,
43,veh1,Follower1,2.778,0.4502,65.22,-1.6,5.2719,4.778
43,veh2,Follower2,2.7902,0.6692,51.9497,-1.6,5.2703,4.7902
43,veh3,Follower3,2.7599,0.7191,38.6827,-1.6,5.267,4.7599
43,veh4,Follower4,2.6185,1.0275,25.4379,-1.6,5.2447,4.6185
43,veh5,Follower5,1.6675,5.2413,12.3457,-1.6,5.0922,3.6675
43,veh6,Follower6,0.0,0.0,0.0204,-1.6,4.3253,2.0
44,veh0,Leader,2.8444,0.6316,78.7764,-1.6,0.0,
44,veh1,Follower1,2.8396,0.6157,65.504,-1.6,5.2724,4.8396
44,veh2,Follower2,2.8323,0.4218,52.2329,-1.6,5.2711,4.8323
44,veh3,Follower3,2.8349,0.7495,38.9662,-1.6,5.2668,4.8349
44,veh4,Follower4,2.7406,1.2209,25.712,-1.6,5.2542,4.7406
44,veh5,Follower5,2.0677,4.0013,12.5525,-1.6,5.1595,4.0677
44,veh6,Follower6,0.0,0.0,0.0204,-1.6,4.5321,2.0
45,veh0,Leader,2.8924,0.4797,79.0656,-1.6,0.0,
45,veh1,Follower1,2.904,0.6442,65.7944,-1.6,5.2712,4.904
45,veh2,Follower2,2.8955,0.6316,52.5225,-1.6,5.2719,4.8955
45,veh3,Follower3,2.8771,0.4224,39.2539,-1.6,5.2686,4.8771
45,veh4,Follower4,2.8455,1.0488,25.9965,-1.6,5.2573,4.8455
45,veh5,Follower5,2.41,3.4231,12.7935,-1.6,5.2031,4.41
45,veh6,Follower6,0.0855,0.8553,0.029,-1.6,4.7645,2.0855
46,veh0,Leader,2.9528,0.6036,79.3609,-1.6,0.0,
46,veh1,Follower1,2.9492,0.4518,66.0893,-1.6,5.2716,4.9492
46,veh2,Follower2,2.9621,0.6663,52.8187,-1.6,5.2706,4.9621
46,veh3,Follower3,2.9447,0.6756,39.5484,-1.6,5.2704,4.9447
46,veh4,Follower4,2.8964,0.5088,26.2862,-1.6,5.2622,4.8964
46,veh5,Follower5,2.6674,2.5747,13.0602,-1.6,5.226,4.6674
46,veh6,Follower6,0.7355,6.5,0.1025,-1.6,4.9577,2.7355
47,veh0,Leader,3.0012,0.484,79.661,-1.6,0.0,
47,veh1,Follower1,3.0102,0.6108,66.3903,-1.6,5.2707,5.0102
47,veh2,Follower2,3.0042,0.4208,53.1191,-1.6,5.2712,5.0042
47,veh3,Follower3,3.016,0.7127,39.8499,-1.6,5.2692,5.016
47,veh4,Follower4,2.9763,0.7996,26.5838,-1.6,5.2661,4.9763
47,veh5,Follower5,2.8035,1.3611,13.3406,-1.6,5.2432,4.8035
47,veh6,Follower6,1.6279,8.9234,0.2653,-1.6,5.0753,3.6279
48,veh0,Leader,3.0639,0.6271,79.9674,-1.6,0.0,
48,veh1,Follower1,3.0565,0.4623,66.696,-1.6,5.2714,5.0565
48,veh2,Follower2,3.0666,0.6239,53.4258,-1.6,5.2702,5.0666
48,veh3,Follower3,3.0555,0.3954,40.1555,-1.6,5.2703,5.0555
48,veh4,Follower4,3.0581,0.8177,26.8896,-1.6,5.2659,5.0581
48,veh5,Follower5,2.9495,1.4597,13.6355,-1.6,5.2541,4.9495
48,veh6,Follower6,2.1504,5.2254,0.4803,-1.6,5.1552,4.1504
49,veh0,Leader,3.0953,0.314,80.2769,-1.6,0.0,
49,veh1,Follower1,3.1208,0.6434,67.0081,-1.6,5.2689,5.1208
49,veh2,Follower2,3.1104,0.4382,53.7368,-1.6,5.2712,5.1104
49,veh3,Follower3,3.1204,0.6495,40.4675,-1.6,5.2693,5.1204
49,veh4,Follower4,3.0979,0.3974,27.1994,-1.6,5.2681,5.0979
49,veh5,Follower5,3.0684,1.1893,13.9424,-1.6,5.257,5.0684
49,veh6,Follower6,2.5766,4.2623,0.738,-1.6,5.2044,4.5766
50,veh0,Leader,3.1425,0.4718,80.5912,-1.6,0.0,
50,veh1,Follower1,3.1453,0.2454,67.3226,-1.6,5.2686,5.1453
50,veh2,Follower2,3.1771,0.6668,54.0545,-1.6,5.2681,5.1771
50,veh3,Follower3,3.162,0.4157,40.7837,-1.6,5.2708,5.162
50,veh4,Follower4,3.1682,0.7038,27.5162,-1.6,5.2675,5.1682
50,veh5,Follower5,3.1163,0.479,14.254,-1.6,5.2622,5.1163
50,veh6,Follower6,2.8817,3.051,1.0262,-1.6,5.2278,4.8817
51,veh0,Leader,3.1889,0.4642,80.9101,-1.6,0.0,
51,veh1,Follower1,3.1921,0.4673,67.6418,-1.6,5.2683,5.1921
51,veh2,Follower2,3.1928,0.1573,54.3738,-1.6,5.268,5.1928
51,veh3,Follower3,3.2322,0.7017,41.107,-1.6,5.2669,5.2322
51,veh4,Follower4,3.2088,0.4055,27.8371,-1.6,5.2698,5.2088
51,veh5,Follower5,3.2,0.8364,14.574,-1.6,5.2631,5.2
